,CatalogProfile,FeatureName,InspPointName,NWT,MAWT,FirstWT,LastWt,MeasCrRate,Allowable-Stress-Value,Corrosion-Allowance,Design-Code,Design-Pressure,Design-Temperature,Material-Specification,Material-Type,NominalOutsideDiameter,Nominal-Wall-Thickness,Operating-Pressure,Operating-Temperature,Quality-Factor,Kavg,MassButane,MassCOTwo,MassEthane,MassiButane,MassiPentane,MassMethane,MassnHeptane,MassNitrogen,MassPentane,MassPropane,MassWater,MWButane,MWCOTwo,MWEthane,MWiButane,MWiPentane,MWMethane,MWnHeptane,MWNITROGEN,MWPentane,MWPropane,MWWater,Matcat,Mattyp,SumofMass,SumofMW,Volumeofrelease
0,VE,B,NB,17.12,0.36,12.99,12.9,0.01,115142.44,6.0,ASME B31.3,1030.0,121.0,A312 TP 316L,AS,100.0,17.12,482.75,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,CS,FS,2932.967,29.329836,5.044
46,VE,LT2,NLT2,25.4,1.51,26.8,25.66,0.285,151684.65,3.0,ASME VIII DIV 2,8960.0,93.33,SA-350 LF2_1,FS,50.0,25.4,4309.22,25.56,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,CS,FS,2380.468,23.805566,13.799
100,VE,D,ND,15.24,0.1,14.69,14.6,0.01,117900.34,6.0,ASME VIII DIV 1,414.0,121.0,SA-333 6,FS,80.0,15.24,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,CS,FS,29.032,0.289755,0.641
101,VE,F,NF,14.27,0.25,13.49,13.4,0.057,117900.34,6.0,ASME VIII DIV 1,414.0,121.0,SA-333 6,FS,150.0,14.27,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,CS,FS,29.032,0.289755,0.641
105,VE,PSV,NPSV1,41.15,2.99,42.2,41.8,0.1,151684.65,3.0,ASME VIII DIV 2,8960.0,93.33,SA-350 LF2_1,FS,100.0,41.15,4309.22,25.56,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,CS,FS,2380.468,23.805566,13.799
148,VE,F,NF,14.27,0.52,13.79,13.73,0.007,137895.14,6.0,ASME B31.3,1030.0,121.0,A333 Gr 6,FS,150.0,14.27,482.75,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,CS,FS,2932.967,29.329836,5.044
167,PL,N2,N9,8.74,0.73,16.1,15.43,0.178,448000.0,3.0,ASME B31.8,15000.0,70.0,API 5L Gr X65,FS,50.0,8.74,13240.0,60.0,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,CS,FS,2380.468,23.805566,4.346
193,VE,LT1B,NLT1B,11.07,0.07,10.17,10.1,0.044,117900.34,6.0,ASME VIII DIV 1,414.0,121.0,SA-333 6,FS,50.0,11.07,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,CS,FS,29.032,0.289755,0.641
248,VE,B2,NB2,8.74,1.66,26.3,25.39,0.227,137895.14,3.0,ASME VIII DIV 2,8960.0,93.33,SA-333 6_1,FS,50.0,8.74,4309.22,25.56,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,CS,FS,2380.468,23.805566,13.799
304,VE,A,NA1,14.27,0.25,14.0,13.42,0.153,117900.34,6.0,ASME VIII DIV 1,414.0,121.0,SA-333 6,FS,150.0,14.27,345.0,60.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,2.909
344,VE,LG1,NLG1,11.07,0.07,10.45,10.3,0.095,117900.34,6.0,ASME VIII DIV 1,414.0,121.0,SA-333 6,FS,50.0,11.07,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,CS,FS,29.032,0.289755,0.641
345,VE,LG2,NLG2,11.07,0.07,10.34,10.2,0.088,117900.34,6.0,ASME VIII DIV 1,414.0,121.0,SA-333 6,FS,50.0,11.07,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,CS,FS,29.032,0.289755,0.641
346,VE,TG,NTG,11.07,0.07,10.52,10.3,0.139,117900.34,6.0,ASME VIII DIV 1,414.0,121.0,SA-333 6,FS,50.0,11.07,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,CS,FS,29.032,0.289755,0.641
620,PI,REDUCER,R1,15.08,8.65,17.5,17.18,0.062,137895.14,3.0,ASME B31.3,8963.18,93.33,A420 Gr WPL6,FS,450.0,23.82,4205.8,25.55,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,CS,FS,2380.468,23.805566,0.764
1073,PI,REDUCER,R1,5.54,1.8,8.02,6.77,0.116,137895.14,3.0,ASME B31.3,1689.22,121.22,A234 Gr WPB,FS,50.0,5.54,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.022
1192,PI,REDUCER,R1,7.11,2.8,8.0,6.5,0.31,137895.14,3.0,ASME B31.3,1034.21,121.11,A234 Gr WPB,FS,150.0,7.11,792.9,122.22,1.0,1.43354,33.2737,1645.13781,135.874302,31.06514,15.38238,839.346929,12.405998,323.93922,13.17459,109.162431,3.574374,0.310651,16.451,1.358743,0.332737,0.153824,8.393469,0.124,3.239,0.131746,1.091624,0.035744,CS,FS,3211.277,32.111539,0.069
1212,VE,N1,N1,25.4,2.81,26.6,25.4,0.441,170989.97,0.0,ASME VIII DIV 1,9170.0,149.0,SA-182 F51,AFS,100.0,25.4,6030.0,121.1,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,ASS,2932.968,29.329836,0.222
1213,VE,N2,N2,16.6,1.41,17.7,17.0,0.257,170989.97,0.0,ASME VIII DIV 1,9170.0,149.0,SA-182 F51,AFS,50.0,16.6,6030.0,121.1,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,ASS,2932.968,29.329836,0.222
1214,VE,N3,N3,20.6,2.11,21.5,20.55,0.349,170989.97,0.0,ASME VIII DIV 1,9170.0,149.0,SA-182 F51,AFS,80.0,20.6,6030.0,121.1,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,ASS,2932.968,29.329836,0.222
1216,VE,N1,N1,25.4,1.36,27.2,25.3,0.421,170989.97,0.0,ASME VIII DIV 1,9170.0,149.0,SA-182 F51,AFS,100.0,25.4,6030.0,121.1,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,ASS,2932.966,29.329836,0.12
1504,PI,REDUCER,R1,7.11,2.8,6.2,6.01,0.018,137895.14,3.0,ASME B31.3,413.69,60.0,A234 Gr WPB,FS,150.0,7.11,100.0,25.0,1.0,1.287781,33.1284,1645.0938,135.9164,30.8036,15.1515,839.26512,12.0252,32.5032,12.987,109.3432,3.6032,0.308036,16.451,1.359164,0.331284,0.151515,8.392651,0.12,0.325,0.12987,1.093432,0.036032,CS,FS,2940.294,29.402779,1.706
1610,VE,N3,N3,11.07,3.42,11.55,11.55,0.0,137895.14,7.5,ASME VIII DIV 1,1030.0,149.0,SA-350 LF2_1,FS,50.0,11.07,700.0,94.1,1.0,1.283777,11.0428,978.3423,73.0701,9.8804,5.772,517.16184,88.1848,24.6576,5.0505,39.681,700.8224,0.098804,9.783,0.730701,0.110428,0.05772,5.171618,0.882,0.247,0.050505,0.39681,7.008224,CS,FS,2567.581,25.675458,3.263
1650,FS,N1,N1 PIPE V,5.54,0.24,5.79,5.21,0.068,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.279
1652,FS,N1,N1 ELBOW,5.54,0.24,5.79,5.21,0.068,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.279
1653,FS,N2,N2,5.54,0.24,5.69,5.21,0.057,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.279
1656,FS,N3,N3 ELBOW,3.91,0.25,4.38,3.76,0.073,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,3.91,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.009
1658,FS,N3,N3 PIPE V,3.91,0.25,4.38,3.76,0.073,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,3.91,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.009
1743,VE,K1B,K1-B,5.54,0.24,6.11,5.23,0.104,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,25.0,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,4.248
1744,VE,K2A,K2-A,5.54,0.24,5.82,5.25,0.067,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,25.0,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,4.248
1745,VE,K2B,K2-B,5.54,0.24,5.82,5.26,0.066,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,25.0,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,4.248
1798,VE,N4,N4,5.54,0.24,5.69,5.33,0.042,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.84
1799,VE,N5,N5,5.54,0.24,5.79,5.33,0.054,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.84
1800,VE,N6,N6,5.54,0.24,5.67,5.32,0.041,115142.44,0.0,ASME VIII DIV 1,1100.0,60.0,SA-312 TP316L_1,AS,50.0,5.54,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.84
1807,FS,N2,N2,3.91,0.35,4.4,3.8,0.071,115142.44,0.0,ASME VIII DIV 1,1520.0,60.0,SA-403 316L,AS,50.0,3.91,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.009
1809,FS,N2,N3 ELBOW,3.91,0.35,4.4,3.8,0.071,115142.44,0.0,ASME VIII DIV 1,1520.0,60.0,SA-403 316L,AS,50.0,3.91,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.009
1810,FS,N3,N3 ELBOW,3.91,0.35,4.4,3.8,0.071,115142.44,0.0,ASME VIII DIV 1,1520.0,60.0,SA-312 TP316L_1,AS,50.0,3.91,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.009
1812,FS,N3,N3 PIPE V,3.91,0.35,4.4,3.8,0.071,115142.44,0.0,ASME VIII DIV 1,1520.0,60.0,SA-312 TP316L_1,AS,50.0,3.91,860.0,43.5,1.0,1.29505,15.6924,876.6792,101.3359,21.5044,10.101,1041.38172,10.021,41.7498,7.215,59.9624,135.12,0.215044,8.767,1.013359,0.156924,0.10101,10.413817,0.1,0.417,0.07215,0.599624,1.3512,SS,AS,2384.493,23.844734,0.009
1819,PI,REDUCER,R1,5.54,1.8,11.8,5.7,0.664,137895.14,3.0,ASME B31.3,1882.27,121.11,A420 Gr WPL6,FS,50.0,5.54,100.0,35.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.02
1824,PI,REDUCER,R1,5.54,1.8,7.4,7.25,0.02,137895.14,3.0,ASME B31.3,413.69,121.11,A420 Gr WPL6,FS,50.0,5.54,344.74,110.0,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,CS,FS,2380.468,23.805566,0.007
1826,PI,REDUCER,R1,5.54,1.8,5.97,5.81,0.525,137895.14,3.0,ASME B31.3,3861.06,121.11,A234 Gr WPB,FS,50.0,5.54,100.0,35.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.003
1831,PI,REDUCER,R1,9.52,6.79,11.09,10.48,0.058,206842.71,0.0,ASME B31.3,20684.27,121.11,A815 CL WP-S S31803,AFS,125.0,9.52,15171.0,121.11,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.968,29.329836,0.414
1834,PI,REDUCER,R1,6.55,2.3,8.14,7.72,0.038,206842.71,0.0,ASME B31.3,5400.0,121.11,A815 CL WP-S S31803,AFS,125.0,6.55,10340.0,98.89,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.968,29.329836,0.263
1938,PI,TEE 1X1B,T2-2,6.35,1.8,6.15,6.05,0.048,137895.14,3.0,ASME B31.3,8963.18,93.33,A420 Gr WPL6,FS,25.0,6.35,4205.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.0
1939,PI,TEE 1X1B,T2-2,6.35,1.8,6.22,5.89,0.16,137895.14,3.0,ASME B31.3,8963.18,93.33,A420 Gr WPL6,FS,25.0,6.35,4205.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.0
1940,PI,TEE 1X1B,T1-2,6.35,1.8,6.15,6.05,0.048,137895.14,3.0,ASME B31.3,8963.18,93.33,A420 Gr WPL6,FS,25.0,6.35,4205.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.0
1941,PI,TEE 1X1B,T1-2,6.35,1.8,6.22,5.89,0.16,137895.14,3.0,ASME B31.3,8963.18,93.33,A420 Gr WPL6,FS,25.0,6.35,4205.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.0
1944,PI,TEE 4X4M,T2-1,6.02,2.3,6.04,9.66,0.596,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1945,PI,TEE 4X4M,T2-1,6.02,2.3,6.04,7.53,0.031,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1946,PI,TEE 4X4M,T2-1,6.02,2.3,9.56,9.85,0.046,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1947,PI,TEE 4X4M,T6-1,6.02,2.3,6.04,9.66,0.596,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1948,PI,TEE 4X4M,T6-1,6.02,2.3,6.04,7.53,0.031,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1949,PI,TEE 4X4M,T6-1,6.02,2.3,9.56,9.85,0.046,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1950,PI,TEE 4X4M,T4-1,6.02,2.3,6.04,9.66,0.596,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1951,PI,TEE 4X4M,T4-1,6.02,2.3,6.04,7.53,0.031,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1952,PI,TEE 4X4M,T4-1,6.02,2.3,9.56,9.85,0.046,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.212
1953,PI,TEE 4X2B,T12-2,5.54,1.8,11.34,6.7,0.652,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,50.0,5.54,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.224
1955,PI,TEE 4X2B,T12-2,5.54,1.8,11.57,10.08,0.678,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,50.0,5.54,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.224
1961,PI,TEE 4X2B,T8-2,5.54,1.8,11.34,6.7,0.652,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,50.0,5.54,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.224
1963,PI,TEE 4X2B,T8-2,5.54,1.8,11.57,10.08,0.678,137895.14,3.0,ASME B31.3,1689.22,121.11,A234 Gr WPB,FS,50.0,5.54,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.224
