,CatalogProfile,FeatureName,InspPointName,NWT,MAWT,FirstWT,LastWt,MeasCrRate,Allowable-Stress-Value,Corrosion-Allowance,Design-Code,Design-Pressure,Design-Temperature,Material-Specification,Material-Type,NominalOutsideDiameter,Nominal-Wall-Thickness,Operating-Pressure,Operating-Temperature,Quality-Factor,Kavg,MassButane,MassCOTwo,MassEthane,MassiButane,MassiPentane,MassMethane,MassnHeptane,MassNitrogen,MassPentane,MassPropane,MassWater,MWButane,MWCOTwo,MWEthane,MWiButane,MWiPentane,MWMethane,MWnHeptane,MWNITROGEN,MWPentane,MWPropane,MWWater,Matcat,Mattyp,SumofMass,SumofMW,Volumeofrelease
33801,PI,PIPE,P1,5.54,1.8,5.25,5.1,0.039,137895.14,3.0,ASME B31.3,1654.74,121.11,A333 Gr 6,FS,50.0,5.54,344.74,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,CS,FS,2932.968,29.329836,0.003
33803,PI,PIPE,P1,5.54,1.8,5.5,5.19,0.041,137895.14,3.0,ASME B31.3,1654.74,121.11,A333 Gr 6,FS,50.0,5.54,344.74,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,CS,FS,2932.968,29.329836,0.002
33806,PI,PIPE,P3,7.11,2.8,7.13,7.014,0.013,137895.14,3.0,ASME B31.3,413.69,121.11,A333 Gr 6,FS,150.0,7.11,344.74,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,CS,FS,2932.968,29.329836,0.263
33809,PI,PIPE,P1,7.11,2.8,7.13,7.014,0.013,137895.14,3.0,ASME B31.3,413.69,121.11,A333 Gr 6,FS,150.0,7.11,344.74,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,CS,FS,2932.968,29.329836,0.263
33812,PI,PIPE,P2,7.11,2.8,7.13,7.014,0.013,137895.14,3.0,ASME B31.3,413.69,121.11,A333 Gr 6,FS,150.0,7.11,344.74,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,CS,FS,2932.968,29.329836,0.263
33816,PI,PIPE,P1,7.11,3.81,9.99,6.81,0.291,206842.71,0.0,ASME B31.3,9549.24,121.11,A790 Gr S31803,AFS,150.0,7.11,10340.0,99.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.968,29.329836,0.039
33817,PI,PIPE,P1,7.11,2.8,6.88,6.78,0.096,199258.48,0.0,ASME B31.3,6360.0,132.22,A790 Gr S31803,AFS,150.0,7.11,15170.0,121.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,DSS,AFS,2932.968,29.329836,0.03
34259,PI,PIPE,P1,8.74,1.91,9.39,8.06,0.734,137895.14,3.0,ASME B31.3,8963.18,121.11,A106 Gr B,FS,50.0,8.74,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.015
34261,PI,PIPE,P2,8.74,1.91,9.39,8.06,0.734,137895.14,3.0,ASME B31.3,8963.18,121.11,A106 Gr B,FS,50.0,8.74,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.015
34290,PI,PIPE,P1,6.02,2.3,6.08,6.04,0.004,137895.14,3.0,ASME B31.3,1689.22,121.11,API 5L Gr B,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.034
34294,PI,PIPE,P2,6.02,2.3,6.08,6.04,0.004,137895.14,3.0,ASME B31.3,1689.22,121.11,API 5L Gr B,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.034
34298,PI,PIPE,P3,6.02,2.3,6.08,6.04,0.004,137895.14,3.0,ASME B31.3,1689.22,121.11,API 5L Gr B,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.034
34302,PI,PIPE,RT-TPP4,6.02,2.3,6.08,6.04,0.004,137895.14,3.0,ASME B31.3,1689.22,121.11,API 5L Gr B,FS,100.0,6.02,100.0,25.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,CS,FS,2797.19,27.972157,0.034
